doc_id,title,text,content_type,source,source_url,grade,route_type,location,lat,lng,meta_avg_stars,meta_pitches,meta_length,meta_area_path
f83c6348003e,Access Denied,Access Denied is a 5.10b/c Sport climbing route. located in El Mirador El Potrero Chico Nuevo Leon Northern Mexico Mexico North America International. rated 2.9 stars. 4 pitches. 350.0 feet long. This is a really great route with awesome exposure and a really cool summit. It climbs obvious dihedrals,route,mountain_project,https://www.mountainproject.com/route/110149834/access-denied,5.10b/c,Sport,El Mirador El Potrero Chico Nuevo Leon Northern Mexico Mexico North America International,25.95044,-100.47755,2.9,4,350.0,California > San Francisco Bay Area > Castle Rock Area > California Ridge
d9dccb0de4a9,Agave Nectar,Agave Nectar is a 5.10b/c Sport climbing route. located in Sugar Shack Cougar Canyon (Creek) - CONSTRUCTION IN PROGRESS Bow Valley Alberta Canada North America International. rated 2.0 stars. 1 pitches. from tabvar: Cool fins to roof thin holds over roof.. Protection: 4 bolts to anchor,route,mountain_project,https://www.mountainproject.com/route/110913861/agave-nectar,5.10b/c,Sport,Sugar Shack Cougar Canyon (Creek) - CONSTRUCTION IN PROGRESS Bow Valley Alberta Canada North America International,51.09642,-115.31767,2.0,1,,
cf92fd1c5e3f,Ant & Bee do Yoga,Ant & Bee do Yoga is a 5.10b/c Trad climbing route. located in The Hen House Kamloops British Columbia Canada North America International. rated 2.7 stars. 1 pitches. A safe mixed route with a bit of run out up top. You should probably avoiding touching the large detached boulder to the right of the,route,mountain_project,https://www.mountainproject.com/route/112406525/ant-bee-do-yoga,5.10b/c,Trad,The Hen House Kamloops British Columbia Canada North America International,50.57212,-120.13873999999998,2.7,1,,
aa5acd54c266,Besame Fuerte,Besame Fuerte is a 5.10b/c Sport climbing route. located in Pilon De Lolita Loreto Area Baja California Sur Mexico North America International. rated 2.0 stars. 1 pitches. 80.0 feet long. Start on a slab under a left leaning arched roof. Follow bolts up and left to the arete at the left hand side of,route,mountain_project,https://www.mountainproject.com/route/116086400/besame-fuerte,5.10b/c,Sport,Pilon De Lolita Loreto Area Baja California Sur Mexico North America International,26.01097,-111.34166,2.0,1,80.0,
d846eb73cc0c,Big Momma's Rock,Big Momma's Rock is a 5.10b/c Sport climbing route. located in The Courtyard Mamquam FSR Squamish British Columbia Canada North America International. rated 3.0 stars. 1 pitches. 60.0 feet long. Fun technical climbing. Tricky right off the bat.. Protection: bolts,route,mountain_project,https://www.mountainproject.com/route/114457722/big-mommas-rock,5.10b/c,Sport,The Courtyard Mamquam FSR Squamish British Columbia Canada North America International,49.71393,-123.09943,3.0,1,60.0,
0eba957f5bc7,Big Splash,Big Splash is a 5.10b/c Sport climbing route. located in The Dark Pool Powell River British Columbia Canada North America International. rated 3.0 stars. 1 pitches. 50.0 feet long. Two potential starts. 1) Travers across canyon and start at the roof/down climb to ledge. 2) Swim over (bring your shoe,route,mountain_project,https://www.mountainproject.com/route/107446430/big-splash,5.10b/c,Sport,The Dark Pool Powell River British Columbia Canada North America International,49.8486,-124.5287,3.0,1,50.0,
705afd6aa08a,Black Smear,Black Smear is a 5.10b/c X Trad climbing route. located in The Slabs Bear Mountain (AKA Bald Hill) New Brunswick Canada North America International. rated 2.0 stars. 1 pitches. 20.0 feet long. On the upper slabs there is a prominent black streak that narrows towards the top of the climb. Climb this ,route,mountain_project,https://www.mountainproject.com/route/107466631/black-smear,5.10b/c X,Trad,The Slabs Bear Mountain (AKA Bald Hill) New Brunswick Canada North America International,45.47227,-66.50856,2.0,1,20.0,
16981895ea10,Brace yourself Sheila,Brace yourself Sheila is a 5.10b/c Sport climbing route. located in (a) Foreplay Left and Centre Foreplay Cliff (k) Evergreen Drive Crags Skaha Okanagan British Columbia Canada North America International. rated 2.0 stars. 1 pitches. If you miss the high left hold at crux the route seems much harder,route,mountain_project,https://www.mountainproject.com/route/112288433/brace-yourself-sheila,5.10b/c,Sport,(a) Foreplay Left and Centre Foreplay Cliff (k) Evergreen Drive Crags Skaha Okanagan British Columbia Canada North America International,49.45248,-119.56587,2.0,1,,
502bde8e1618,Cabot Crack,Cabot Crack is a 5.10b/c Sport climbing route. located in Los Chileros San Isidro Canyon Nuevo Leon Northern Mexico Mexico North America International. rated 3.0 stars. 1 pitches. 75.0 feet long. Climbs a crack.. Protection: Bolts,route,mountain_project,https://www.mountainproject.com/route/116377453/cabot-crack,5.10b/c,Sport,Los Chileros San Isidro Canyon Nuevo Leon Northern Mexico Mexico North America International,25.37841,-100.31211,3.0,1,75.0,
141ad8ce3034,Camelia,Camelia is a 5.10b/c Sport climbing route. located in Los Chileros San Isidro Canyon Nuevo Leon Northern Mexico Mexico North America International. rated 3.0 stars. 1 pitches. 60.0 feet long. Hidden deep jugs when things get balancy. Protection: Bolts,route,mountain_project,https://www.mountainproject.com/route/116377411/camelia,5.10b/c,Sport,Los Chileros San Isidro Canyon Nuevo Leon Northern Mexico Mexico North America International,25.37841,-100.31211,3.0,1,60.0,
